time=2025-08-15T12:26:28.367Z level=INFO msg="Watcharr Starting"
time=2025-08-15T12:26:28.374Z level=INFO msg="Config file doesn't exist... generating."
time=2025-08-15T12:26:28.387Z level=INFO msg="Logging level set" logging_level=INFO
time=2025-08-15T12:26:30.937Z level=INFO msg="No users found.. creating setup routes."
time=2025-08-15T12:26:30.937Z level=ERROR msg="IGDB init client id and or secret not provided"
time=2025-08-15T12:26:30.937Z level=ERROR msg="GameRoutes: Twitch init failed!" error="client id and or secret not provided"
time=2025-08-15T12:26:30.938Z level=INFO msg="SetupTasks: Jobs created and scheduler started."
[GIN] 2025/08/15 - 12:26:40 | 200 |    1.122196ms |      172.19.0.1 | GET      "/_app/immutable/assets/22.CZTqYAWT.css"
[GIN] 2025/08/15 - 12:26:40 | 200 |    1.022087ms |      172.19.0.1 | GET      "/_app/immutable/nodes/22.DsKi_liI.js"
[GIN] 2025/08/15 - 12:26:40 | 200 |    1.006386ms |      172.19.0.1 | GET      "/manifest.webmanifest"
[GIN] 2025/08/15 - 12:26:40 | 200 |    1.138997ms |      172.19.0.1 | GET      "/logo-sqre-144.png"
[GIN] 2025/08/15 - 12:26:40 | 200 |      34.102µs |      172.19.0.1 | GET      "/api/auth/available"
[GIN] 2025/08/15 - 12:26:40 | 200 |    1.578334ms |      172.19.0.1 | GET      "/_app/immutable/nodes/23.CLgG-Wmm.js"
[GIN] 2025/08/15 - 12:26:40 | 200 |     3.39669ms |      172.19.0.1 | GET      "/_app/immutable/chunks/CWmzcjye.js"
[GIN] 2025/08/15 - 12:26:40 | 200 |   18.548679ms |      172.19.0.1 | GET      "/RampartOne-Regular.woff2"
[GIN] 2025/08/15 - 12:26:40 | 200 |     917.478µs |      172.19.0.1 | GET      "/_app/immutable/assets/23.D8RFtMTn.css"
[GIN] 2025/08/15 - 12:26:40 | 200 |      12.801µs |      172.19.0.1 | GET      "/api/auth/available"
time=2025-08-15T12:26:59.024Z level=INFO msg="Registering first user."
time=2025-08-15T12:26:59.024Z level=INFO msg="A user is registering" username=Marla14
time=2025-08-15T12:26:59.130Z level=INFO msg="User being registered has been given extra initial permissions" initial_perm=2
[GIN] 2025/08/15 - 12:26:59 | 200 |  235.625261ms |      172.19.0.1 | POST     "/api/setup/create_admin"
[GIN] 2025/08/15 - 12:26:59 | 200 |   15.693929ms |      172.19.0.1 | GET      "/api/watched"
[GIN] 2025/08/15 - 12:26:59 | 200 |   16.328175ms |      172.19.0.1 | GET      "/api/tag"
[GIN] 2025/08/15 - 12:26:59 | 200 |   24.754781ms |      172.19.0.1 | GET      "/api/features"
[GIN] 2025/08/15 - 12:26:59 | 200 |   31.041435ms |      172.19.0.1 | GET      "/api/follow"
[GIN] 2025/08/15 - 12:26:59 | 200 |   38.727287ms |      172.19.0.1 | GET      "/api/user"
[GIN] 2025/08/15 - 12:26:59 | 200 |   48.107863ms |      172.19.0.1 | GET      "/api/user/settings"
[GIN] 2025/08/15 - 12:27:11 | 200 |    1.975398ms |      172.19.0.1 | GET      "/_app/immutable/nodes/8.CUyshDGo.js"
[GIN] 2025/08/15 - 12:27:11 | 200 |    2.319632ms |      172.19.0.1 | GET      "/_app/immutable/chunks/C8V8UjZy.js"
[GIN] 2025/08/15 - 12:27:11 | 200 |    2.130113ms |      172.19.0.1 | GET      "/_app/immutable/assets/8.nNIxNspT.css"
[GIN] 2025/08/15 - 12:27:22 | 200 |    1.527738ms |      172.19.0.1 | GET      "/_app/immutable/nodes/6.BfBkfqBQ.js"
[GIN] 2025/08/15 - 12:27:22 | 200 |    1.580443ms |      172.19.0.1 | GET      "/_app/immutable/assets/6.BkfT9DWk.css"
[GIN] 2025/08/15 - 12:27:22 | 200 |   78.934646ms |      172.19.0.1 | GET      "/api/content/discover/movies"
[GIN] 2025/08/15 - 12:27:22 | 200 |    85.83437ms |      172.19.0.1 | GET      "/api/content/discover/tv"
[GIN] 2025/08/15 - 12:27:22 | 200 |   190.54625ms |      172.19.0.1 | GET      "/api/content/upcoming/movies"
[GIN] 2025/08/15 - 12:27:22 | 200 |  198.101334ms |      172.19.0.1 | GET      "/api/content/upcoming/tv"
[GIN] 2025/08/15 - 12:27:22 | 200 |  245.968568ms |      172.19.0.1 | GET      "/api/content/trending"
[GIN] 2025/08/15 - 12:27:53 | 200 |    1.862122ms |      172.19.0.1 | GET      "/_app/immutable/chunks/DRkThpa_.js"
[GIN] 2025/08/15 - 12:27:53 | 200 |    2.030524ms |      172.19.0.1 | GET      "/_app/immutable/nodes/18.D6wuA9AK.js"
[GIN] 2025/08/15 - 12:27:53 | 200 |     875.311µs |      172.19.0.1 | GET      "/_app/immutable/assets/PersonPoster.DPT4r79T.css"
[GIN] 2025/08/15 - 12:27:53 | 200 |     955.412µs |      172.19.0.1 | GET      "/_app/immutable/chunks/CBQAq6nx.js"
[GIN] 2025/08/15 - 12:27:53 | 200 |    3.501942ms |      172.19.0.1 | GET      "/_app/immutable/assets/Error.B2f7TOf0.css"
[GIN] 2025/08/15 - 12:27:53 | 200 |    1.241615ms |      172.19.0.1 | GET      "/_app/immutable/assets/18.DpVA77sn.css"
[GIN] 2025/08/15 - 12:27:53 | 200 |    6.939284ms |      172.19.0.1 | GET      "/api/user/search?q=The+blacklist"
